t; x; y; theta
13449770.633999; 0.00; 0.00; 0.00
13465966.268999; 0.00; 0.00; 0.00
13481842.201000; 0.00; 0.00; 0.00
13497826.142000; 0.00; 0.00; 0.00
13513696.159000; 0.00; 0.00; 0.00
13531717.705999; 0.00; 0.00; 0.00
13546586.375000; 0.00; 0.00; 0.00
13561886.035002; 0.00; 0.00; 0.00
13577855.048000; 0.00; 0.00; 0.00
13593810.064001; 0.00; 0.00; 0.00
13609831.461000; 0.00; 0.00; 0.00
13625784.035999; 0.00; 0.00; 0.00
13741560.721001; 0.00; 0.00; 0.00
13757315.081001; 0.00; 0.00; 0.00
13773346.602001; 0.00; 0.00; 0.00
13791595.782999; 0.00; 0.00; 0.00
13806652.988001; 0.00; 0.00; 0.00
13821764.768000; 0.00; 0.00; 0.00
13837338.895000; 0.00; 0.00; 0.00
13853366.486000; 0.00; 0.00; 0.00
13871755.414999; 0.00; 0.00; 0.00
13886869.750000; 0.00; 0.00; 0.00
13902120.264000; 0.00; 0.00; 0.00
13917528.701000; 0.00; 0.00; 0.00
13933447.400000; 0.00; 0.00; 0.00
13949451.222000; 0.00; 0.00; 0.00
13965642.002001; 0.00; 0.00; 0.00
13981394.223000; 0.00; 0.00; 0.00
13998739.115000; 0.00; 0.00; 0.00
14013853.438002; 0.00; 0.00; 0.00
14029384.154999; 0.00; 0.00; 0.00
14045365.290001; 0.00; 0.00; 0.00
14061366.862000; 0.00; 0.00; 0.00
14077337.378000; 0.00; 0.00; 0.00
14093675.462000; 0.00; 0.00; 0.00
14109611.980001; 0.00; 0.00; 0.00
14125553.718000; 0.00; 0.00; 0.00
14141534.827999; 0.00; 0.00; 0.00
14157542.142000; 0.00; 0.00; 0.00
14173534.379999; 0.00; 0.00; 0.00
14189512.497000; 0.00; 0.00; 0.00
14205482.947001; 0.00; 0.00; 0.00
14221593.812000; 0.00; 0.00; 0.00
14237545.324999; 0.00; 0.00; 0.00
14253411.650000; 0.00; 0.00; 0.00
14269706.166000; 0.00; 0.00; 0.00
14285547.479000; 0.00; 0.00; 0.00
14301555.420000; 0.00; 0.00; 0.00
14317486.161999; 0.00; 0.00; 0.00
14333577.927000; 0.00; 0.00; 0.00
14349642.432001; 0.00; 0.00; 0.00
14365375.900999; 0.00; 0.00; 0.00
14381477.444000; 0.00; 0.00; 0.00
14397624.154001; 0.00; 0.00; 0.00
14413501.715000; 0.00; 0.00; 0.00
14429528.646999; 0.00; 0.00; 0.00
14445290.460999; 0.00; 0.00; 0.00
14461362.197001; 0.00; 0.00; 0.00
14477463.170000; 0.00; 0.00; 0.00
14493438.132000; 0.00; 0.00; 0.00
14509296.328001; 0.00; 0.00; 0.00
14525238.785000; 0.00; 0.00; 0.00
14541295.874001; 0.00; 0.00; 0.00
14557328.970999; 0.00; 0.00; 0.00
14573394.261999; 0.00; 0.00; 0.00
14589463.718000; 0.00; 0.00; 0.00
14605395.466002; 0.00; 0.00; 0.00
14621547.313000; 0.00; 0.00; 0.00
14637279.205999; 0.00; 0.00; 0.00
14655750.529999; 0.00; 0.00; 0.00
14670794.525000; 0.00; 0.00; 0.00
14685840.671000; 0.00; 0.00; 0.00
14701404.771000; 0.00; 0.00; 0.00
14717475.890001; 0.00; 0.00; 0.00
14734461.132002; 0.00; 0.00; 0.00
14750308.053001; 0.00; 0.00; 0.00
14765579.068001; 0.00; 0.00; 0.00
14781378.667000; 0.00; 0.00; 0.00
14797371.424000; 0.00; 0.00; 0.00
14813362.076000; 0.00; 0.00; 0.00
14829364.404001; 0.00; 0.00; 0.00
14845508.307999; 0.00; 0.00; 0.00
14861337.528999; 0.00; 0.00; 0.00
14877290.168999; 0.00; 0.00; 0.00
14893351.587000; 0.00; 0.00; 0.00
14909516.118000; 0.00; 0.00; 0.00
14925518.597000; 0.00; 0.00; 0.00
14941649.597000; 0.00; 0.00; 0.00
14957429.791000; 0.00; 0.00; 0.00
14973297.417000; 0.00; 0.00; 0.00
14993957.908001; 0.00; 0.00; 0.00
15005918.028002; 0.00; 0.00; 0.00
15021351.812000; 0.00; 0.00; 0.00
15037360.700001; 0.00; 0.00; 0.00
15053377.375999; 0.00; 0.00; 0.00
15069284.159000; 0.00; 0.00; 0.00
15085394.967001; 0.00; 0.00; 0.00
15101391.247000; 0.00; 0.00; 0.00
15117311.279001; 0.00; 0.00; 0.00
15133403.631001; 0.00; 0.00; 0.00
15149393.456001; 0.00; 0.00; 0.00
15165346.317001; 0.00; 0.00; 0.00
15181369.979000; 0.00; 0.00; 0.00
15197351.126001; 0.00; 0.00; 0.00
15213659.879002; 0.00; 0.00; 0.00
15229583.827999; 0.00; 0.00; 0.00
15245661.693001; 0.00; 0.00; 0.00
15261486.524000; 0.00; 0.00; 0.00
15277589.886000; 0.00; 0.00; 0.00
15293735.569000; 0.00; 0.00; 0.00
15309387.402000; 0.00; 0.00; 0.00
15325366.308001; 0.00; 0.00; 0.00
15341390.000000; 0.00; 0.00; 0.00
15357424.240999; 0.00; 0.00; 0.00
15373391.570000; 0.00; 0.00; 0.00
15389415.231001; 0.00; 0.00; 0.00
15405401.594000; 0.00; 0.00; 0.00
15421335.171001; 0.00; 0.00; 0.00
15437361.664999; 0.00; 0.00; 0.00
15453432.442999; 0.00; 0.00; 0.00
15469361.811001; 0.00; 0.00; 0.00
15485365.421999; 0.00; 0.00; 0.00
15501363.059999; 0.00; 0.00; 0.00
15517381.018999; 0.00; 0.00; 0.00
15533370.197001; 0.00; 0.00; 0.00
15549301.150002; 0.00; 0.00; 0.00
15565359.048000; 0.00; 0.00; 0.00
15581370.292002; 0.00; 0.00; 0.00
15608929.702999; 0.00; 0.00; 0.00
15617531.913000; 0.00; 0.00; 0.00
15629463.853001; 0.00; 0.00; 0.00
15645366.053999; 0.00; 0.00; 0.00
15661390.667999; 0.00; 0.00; 0.00
15677373.127001; 0.00; 0.00; 0.00
15693445.564001; 0.00; 0.00; 0.00
15709340.834000; 0.00; 0.00; 0.00
15725451.156000; 0.00; 0.00; 0.00
15741494.007999; 0.00; 0.00; 0.00
15757541.823999; 0.00; 0.00; 0.00
15773531.469000; 0.00; 0.00; 0.00
15789370.427000; 0.00; 0.00; 0.00
15805346.576000; 0.00; 0.00; 0.00
15821398.747000; 0.00; 0.00; 0.00
15837578.333000; 0.00; 0.00; 0.00
15853402.682001; 0.00; 0.00; 0.00
15869383.412001; 0.00; 0.00; 0.00
15885285.647999; 0.00; 0.00; 0.00
15901508.908001; 0.00; 0.00; 0.00
15917685.705999; 0.00; 0.00; 0.00
15933526.724001; 0.00; 0.00; 0.00
15949465.247999; 0.00; 0.00; 0.00
15965509.695999; 0.00; 0.00; 0.00
15981383.589001; 0.00; 0.00; 0.00
15997413.460001; 0.00; 0.00; 0.00
16013376.709000; 0.01; 0.00; 0.00
16031805.959999; 0.01; 0.00; 0.00
16047048.590000; 0.01; 0.00; 0.00
16062412.355999; 0.02; 0.00; 0.00
16077833.046000; 0.02; 0.00; 0.00
16093564.254999; 0.02; 0.00; 0.00
16109475.351000; 0.02; 0.00; 0.00
16125551.301001; 0.03; 0.00; 0.00
16141549.270000; 0.03; 0.00; 0.00
16157513.712000; 0.03; 0.00; 0.00
16173505.528000; 0.04; 0.00; 0.00
16189325.144001; 0.04; 0.00; 0.00
16205496.316999; 0.04; 0.00; 0.00
16221576.903000; 0.05; 0.00; 0.00
16237414.278000; 0.05; 0.00; 0.00
16253384.382999; 0.05; 0.00; 0.00
16269422.763000; 0.06; 0.00; 0.00
16285415.401999; 0.06; 0.00; 0.00
16301386.834999; 0.06; 0.00; 0.00
16317331.980999; 0.07; 0.00; 0.00
16333541.299000; 0.07; 0.00; 0.00
16349554.722000; 0.07; 0.00; 0.00
16365314.737001; 0.08; 0.00; 0.00
16381507.566999; 0.08; 0.00; 0.00
16397566.975000; 0.08; 0.00; 0.00
16413451.039000; 0.08; 0.00; 0.00
16429527.480999; 0.09; 0.00; 0.00
16445537.141001; 0.09; 0.00; 0.00
16461451.420000; 0.09; 0.00; 0.00
16477531.089001; 0.10; 0.00; 0.00
16493570.315001; 0.10; 0.00; 0.00
16509337.781000; 0.10; 0.00; 0.00
16525361.698000; 0.11; 0.00; 0.00
16541358.323999; 0.11; 0.00; 0.00
16557599.824001; 0.11; 0.00; 0.00
16573526.652000; 0.12; 0.00; 0.00
16589536.056000; 0.12; 0.00; 0.00
16605413.497000; 0.12; 0.00; 0.00
16621364.649000; 0.13; 0.00; 0.00
16637365.454000; 0.13; 0.00; 0.00
16653375.965000; 0.13; 0.00; 0.00
16669365.740999; 0.14; 0.00; 0.00
16685369.978001; 0.14; 0.00; 0.00
16701703.447001; 0.14; 0.00; 0.00
16717473.265001; 0.15; 0.00; 0.00
16733540.577999; 0.15; 0.00; 0.00
16749457.957001; 0.15; 0.00; 0.00
16765394.074999; 0.16; 0.00; 0.00
16781277.942999; 0.16; 0.00; 0.00
16797325.407999; 0.16; 0.00; 0.00
16813262.845001; 0.16; 0.00; 0.00
16829415.519001; 0.17; 0.00; 0.00
16845364.196001; 0.17; 0.00; 0.00
16861342.213999; 0.17; 0.00; 0.00
16877687.364000; 0.18; 0.00; 0.00
16893384.636000; 0.18; 0.00; 0.00
16909375.563999; 0.18; 0.00; 0.00
16925327.532999; 0.19; 0.00; 0.00
16941453.723001; 0.19; 0.00; 0.00
16957570.684999; 0.19; 0.00; 0.00
16973534.707001; 0.20; 0.00; 0.00
16993066.567001; 0.20; 0.00; 0.00
17005536.587000; 0.20; 0.00; 0.00
