t; x; y; theta
6741434.350000; 0.00; 0.00; 0.00
6757441.585000; 0.00; 0.00; 0.00
6773512.294000; 0.00; 0.00; 0.00
6789336.692000; 0.00; 0.00; 0.00
6805491.420000; 0.00; 0.00; 0.00
6821410.100000; 0.00; 0.00; 0.00
6839772.074000; 0.00; 0.00; 0.00
6854952.297000; 0.00; 0.00; 0.00
6870047.701000; 0.00; 0.00; 0.00
6885614.910000; 0.00; 0.00; 0.00
6901434.992000; 0.00; 0.00; 0.00
6917411.051000; 0.00; 0.00; 0.00
6933422.491000; 0.00; 0.00; 0.00
6949368.042000; 0.00; 0.00; 0.00
6965402.404000; 0.00; 0.00; 0.00
6981382.608000; 0.00; 0.00; 0.00
6998764.221000; 0.00; 0.00; 0.00
7013417.551000; 0.00; 0.00; 0.00
7029412.104000; 0.00; 0.00; 0.00
7045419.994000; 0.00; 0.00; 0.00
7061505.752000; 0.00; 0.00; 0.00
7165338.713000; 0.00; 0.00; 0.00
7180346.436000; 0.00; 0.00; 0.00
7196448.917000; 0.00; 0.00; 0.00
7211809.707000; 0.00; 0.00; 0.00
7227866.897000; 0.00; 0.00; 0.00
7243948.626000; 0.00; 0.00; 0.00
7259950.133000; 0.00; 0.00; 0.00
7275876.365000; 0.00; 0.00; 0.00
7291871.974000; 0.00; 0.00; 0.00
7307917.730000; 0.00; 0.00; 0.00
7323838.071000; 0.00; 0.00; 0.00
7339958.631000; 0.00; 0.00; 0.00
7355875.999000; 0.00; 0.00; 0.00
7371983.252000; 0.00; 0.00; 0.00
7390254.546000; 0.00; 0.00; 0.00
7405433.788000; 0.00; 0.00; 0.00
7420530.258000; 0.00; 0.00; 0.00
7435893.695000; 0.00; 0.00; 0.00
7452167.730000; 0.00; 0.00; 0.00
7467822.102000; 0.00; 0.00; 0.00
7486239.320000; 0.00; 0.00; 0.00
7501354.715000; 0.00; 0.00; 0.00
7516414.184000; 0.00; 0.00; 0.00
7535318.557000; 0.00; 0.00; 0.00
7547806.131000; 0.00; 0.00; 0.00
7563774.803000; 0.00; 0.00; 0.00
7579899.875000; 0.00; 0.00; 0.00
7595861.978000; 0.00; 0.00; 0.00
7611909.740000; 0.00; 0.00; 0.00
7627821.995000; 0.00; 0.00; 0.00
7643780.981000; 0.00; 0.00; 0.00
7659915.000000; 0.00; 0.00; 0.00
7675879.999000; 0.00; 0.00; 0.00
7691929.250000; 0.00; 0.00; 0.00
7707860.919000; 0.00; 0.00; 0.00
7723879.405000; 0.00; 0.00; 0.00
7739920.457000; 0.00; 0.00; 0.00
7756045.076000; 0.00; 0.00; 0.00
7771914.171000; 0.00; 0.00; 0.00
7787912.025000; 0.00; 0.00; 0.00
7803931.147000; 0.00; 0.00; 0.00
7819771.977000; 0.00; 0.00; 0.00
7835865.476000; 0.00; 0.00; 0.00
7851887.220000; 0.00; 0.00; 0.00
7867804.181000; 0.00; 0.00; 0.00
7884089.892000; 0.00; 0.00; 0.00
7899869.006000; 0.00; 0.00; 0.00
7915923.638000; 0.00; 0.00; 0.00
7931953.440000; 0.00; 0.00; 0.00
7948009.225000; 0.00; 0.00; 0.00
7963849.870000; 0.00; 0.00; 0.00
7979847.108000; 0.00; 0.00; 0.00
7995985.499000; 0.00; 0.00; 0.00
8011788.003000; 0.00; 0.00; 0.00
8027855.623000; 0.00; 0.00; 0.00
8043871.017000; 0.00; 0.00; 0.00
8059834.346000; 0.00; 0.00; 0.00
8075985.594000; 0.00; 0.00; 0.00
8091968.584000; 0.00; 0.00; 0.00
8107959.899000; 0.00; 0.00; 0.00
8123750.018000; 0.00; 0.00; 0.00
8139927.950000; 0.00; 0.00; 0.00
8155906.235000; 0.00; 0.00; 0.00
8174397.396000; 0.00; 0.00; 0.00
8189561.026000; 0.00; 0.00; 0.00
8204708.378000; 0.00; 0.00; 0.00
8220105.136000; 0.00; 0.00; 0.00
8236049.587000; 0.00; 0.00; 0.00
8252759.346000; 0.00; 0.00; 0.00
8269061.219000; 0.00; 0.00; 0.00
8284271.825000; 0.00; 0.00; 0.00
8299867.468000; 0.00; 0.00; 0.00
8315879.254000; 0.00; 0.00; 0.00
8331958.939000; 0.00; 0.00; 0.00
8347919.959000; 0.00; 0.00; 0.00
8363925.174000; 0.00; 0.00; 0.00
8379910.265000; 0.00; 0.00; 0.00
8395854.869000; 0.00; 0.00; 0.00
8411917.338000; 0.00; 0.00; 0.00
8427916.046000; 0.00; 0.00; 0.00
8443867.544000; 0.00; 0.00; 0.00
8459895.301000; 0.00; 0.00; 0.00
8475904.556000; 0.00; 0.00; 0.00
8491863.957000; 0.00; 0.00; 0.00
8507973.109000; 0.00; 0.00; 0.00
8523896.931000; 0.00; 0.00; 0.00
8539950.075000; 0.00; 0.00; 0.00
8555909.332000; 0.00; 0.00; 0.00
8571938.883000; 0.00; 0.00; 0.00
8587890.402000; 0.00; 0.00; 0.00
