t; x; y; theta
5987750.422999; 0.00; 0.00; 0.00
6002140.626000; 0.00; 0.00; 0.00
6017602.877000; 0.00; 0.00; 0.00
6033143.601000; 0.00; 0.00; 0.00
6048897.410000; 0.00; 0.00; 0.00
6064993.816999; 0.00; 0.00; 0.00
6081004.770000; 0.00; 0.00; 0.00
6096928.488000; 0.00; 0.00; 0.00
6113009.016000; 0.00; 0.00; 0.00
6128929.810000; 0.00; 0.00; 0.00
6144924.862000; 0.00; 0.00; 0.00
6160732.856999; 0.00; 0.00; 0.00
6176692.688000; 0.00; 0.00; 0.00
6192854.365998; 0.00; 0.00; 0.00
6208847.676000; 0.00; 0.00; 0.00
6224881.057000; 0.00; 0.00; 0.00
6240875.546000; 0.00; 0.00; 0.00
6256852.867999; 0.00; 0.00; 0.00
6272845.490000; 0.00; 0.00; 0.00
6338578.967000; 0.00; 0.00; 0.00
6354253.863000; 0.00; 0.00; 0.00
6372278.113999; 0.00; 0.00; 0.00
6387115.312000; 0.00; 0.00; 0.00
6402217.445000; 0.00; 0.00; 0.00
6420281.664000; 0.00; 0.00; 0.00
6435643.594999; 0.00; 0.00; 0.00
6450675.209000; 0.00; 0.00; 0.00
6466353.779000; 0.00; 0.00; 0.00
6482412.651000; 0.00; 0.00; 0.00
6498401.333000; 0.00; 0.00; 0.00
6514460.280000; 0.00; 0.00; 0.00
6530384.096000; 0.00; 0.00; 0.00
6546365.808000; 0.00; 0.00; 0.00
6562348.247000; 0.00; 0.00; 0.00
6578366.830000; 0.00; 0.00; 0.00
6594368.399000; 0.00; 0.00; 0.00
6610372.993000; 0.00; 0.00; 0.00
6626214.526000; 0.00; 0.00; 0.00
6642217.361000; 0.00; 0.00; 0.00
6658224.184000; 0.00; 0.00; 0.00
6676496.249000; 0.00; 0.00; 0.00
6691586.410000; 0.00; 0.00; 0.00
6707382.238000; 0.00; 0.00; 0.00
6722601.976000; 0.00; 0.00; 0.00
6738367.021999; 0.00; 0.00; 0.00
6754395.594999; 0.00; 0.00; 0.00
6770436.737000; 0.00; 0.00; 0.00
6786433.436999; 0.00; 0.00; 0.00
6802405.933999; 0.00; 0.00; 0.00
6818397.082000; 0.00; 0.00; 0.00
6834369.628000; 0.00; 0.00; 0.00
6850374.271999; 0.00; 0.00; 0.00
6866439.082000; 0.00; 0.00; 0.00
6882340.342000; 0.00; 0.00; 0.00
6898338.416000; 0.00; 0.00; 0.00
6914363.401000; 0.00; 0.00; 0.00
6930387.118000; 0.00; 0.00; 0.00
6946430.370000; 0.00; 0.00; 0.00
6962452.829000; 0.00; 0.00; 0.00
6978503.784000; 0.00; 0.00; 0.00
6995880.155999; 0.00; 0.00; 0.00
7010959.447000; 0.00; 0.00; 0.00
7026395.387000; 0.00; 0.00; 0.00
7042398.643000; 0.00; 0.00; 0.00
7058403.688000; 0.00; 0.00; 0.00
7074385.334999; 0.00; 0.00; 0.00
7090367.011000; 0.00; 0.00; 0.00
7106359.282000; 0.00; 0.00; 0.00
7122329.150000; 0.00; 0.00; 0.00
7138372.092999; 0.00; 0.00; 0.00
7154413.690001; 0.00; 0.00; 0.00
7170373.703000; 0.00; 0.00; 0.00
7186365.658000; 0.00; 0.00; 0.00
7202381.794000; 0.00; 0.00; 0.00
7220168.962000; 0.00; 0.00; 0.00
7235331.721999; 0.00; 0.00; 0.00
7250335.523998; 0.00; 0.00; 0.00
7266326.311999; 0.00; 0.00; 0.00
7282341.249000; 0.00; 0.00; 0.00
7298313.736000; 0.00; 0.00; 0.00
7314326.282000; 0.00; 0.00; 0.00
7330327.021000; 0.00; 0.00; 0.00
7346542.428000; 0.00; 0.00; 0.00
7362353.224999; 0.00; 0.00; 0.00
7378449.849999; 0.00; 0.00; 0.00
7394444.421000; 0.00; 0.00; 0.00
7410392.396999; 0.00; 0.00; 0.00
7426433.037000; 0.00; 0.00; 0.00
7442338.862000; 0.00; 0.00; 0.00
7458374.341000; 0.00; 0.00; 0.00
7474276.502999; 0.00; 0.00; 0.00
7490457.844000; 0.00; 0.00; 0.00
7506268.674000; 0.00; 0.00; 0.00
7522358.910000; 0.00; 0.00; 0.00
7538335.702999; 0.00; 0.00; 0.00
7554254.351999; 0.00; 0.00; 0.00
7570244.447999; 0.00; 0.00; 0.00
7588386.880000; 0.00; 0.00; 0.00
7603694.053000; 0.00; 0.00; 0.00
7618817.820000; 0.00; 0.00; 0.00
7634416.768999; 0.00; 0.00; 0.00
7650312.950000; 0.00; 0.00; 0.00
7666712.306000; 0.00; 0.00; 0.00
7682557.428000; 0.00; 0.00; 0.00
7698520.698000; 0.00; 0.00; 0.00
7714581.304000; 0.00; 0.00; 0.00
7730565.266000; 0.00; 0.00; 0.00
7746263.254000; 0.00; 0.00; 0.00
7762387.228999; 0.00; 0.00; 0.00
7778568.038000; 0.00; 0.00; 0.00
7813151.104000; 0.00; 0.00; 0.00
7828534.851000; 0.00; 0.00; 0.00
7844036.990998; 0.00; 0.00; 0.00
7860512.290999; 0.00; 0.00; 0.00
7876017.021999; 0.00; 0.00; 0.00
7891985.524000; 0.00; 0.00; 0.00
7907865.069001; 0.00; 0.00; 0.00
7923844.144000; 0.00; 0.00; 0.00
7939940.332000; 0.00; 0.00; 0.00
7955900.215000; 0.00; 0.00; 0.00
7971836.370999; 0.00; 0.00; 0.00
7995631.138000; 0.00; 0.00; 0.36
8004278.346000; 0.00; 0.00; 0.71
8019897.644000; 0.00; 0.00; 1.33
8036059.907999; 0.00; 0.00; 1.99
8052011.160999; 0.00; 0.00; 2.64
8067897.596999; 0.00; 0.00; 3.29
8084018.770000; 0.00; 0.00; 3.93
8100055.205999; 0.00; 0.00; 4.60
8116055.766000; 0.00; 0.00; 5.25
8131947.439000; 0.00; 0.00; 5.90
8147934.759000; 0.00; 0.00; 6.54
8164154.907000; 0.00; 0.00; 7.21
8180050.362000; 0.00; 0.00; 7.87
8195858.772000; 0.00; 0.00; 8.50
8211878.692000; 0.00; 0.00; 9.15
8228055.243999; 0.00; 0.00; 9.81
8243934.729000; 0.00; 0.00; 10.48
8259996.070999; 0.00; 0.00; 11.12
8275982.063000; 0.00; 0.00; 11.77
8291889.196000; 0.00; 0.00; 12.42
8307877.017000; 0.00; 0.00; 13.07
8323913.202000; 0.00; 0.00; 13.72
8339910.599999; 0.00; 0.00; 14.38
8355869.299000; 0.00; 0.00; 15.03
8371951.839999; 0.00; 0.00; 15.71
8387902.401000; 0.00; 0.00; 16.34
8403902.646000; 0.00; 0.00; 16.99
8419940.938999; 0.00; 0.00; 17.65
8435925.749000; 0.00; 0.00; 18.31
8451876.215000; 0.00; 0.00; 18.96
8467923.790999; 0.00; 0.00; 19.61
8483887.182000; 0.00; 0.00; 20.26
8499834.460999; 0.00; 0.00; 20.91
8515889.339000; 0.00; 0.00; 21.58
8531852.755000; 0.00; 0.00; 22.21
8547875.579000; 0.00; 0.00; 22.86
8563910.296000; 0.00; 0.00; 23.52
8579903.318999; 0.00; 0.00; 24.17
8595909.145000; 0.00; 0.00; 24.83
8611893.108000; 0.00; 0.00; 25.48
8627971.433000; 0.00; 0.00; 26.13
8644060.714000; 0.00; 0.00; 26.80
8659872.002000; 0.00; 0.00; 27.45
8675829.496000; 0.00; 0.00; 28.09
8691948.828000; 0.00; 0.00; 28.76
8708064.892000; 0.00; 0.00; 29.42
8724012.873000; 0.00; 0.00; 30.07
8739793.123000; 0.00; 0.00; 30.72
8755933.379000; 0.00; 0.00; 31.36
8771928.011000; 0.00; 0.00; 32.02
8787884.464999; 0.00; 0.00; 32.67
8803988.316000; 0.00; 0.00; 33.33
8819849.084000; 0.00; 0.00; 33.98
8835996.242999; 0.00; 0.00; 34.64
8851903.150999; 0.00; 0.00; 35.29
8867939.410999; 0.00; 0.00; 35.94
8883927.979000; 0.00; 0.00; 36.59
8899911.210000; 0.00; 0.00; 37.24
8915886.942999; 0.00; 0.00; 37.89
8931911.637000; 0.00; 0.00; 38.54
8947912.436000; 0.00; 0.00; 39.20
8963945.947000; 0.00; 0.00; 39.85
8979990.947000; 0.00; 0.00; 40.51
8997854.311000; 0.00; 0.00; 41.07
9012895.877999; 0.00; 0.00; 41.44
9027888.219000; 0.00; 0.00; 41.81
9043805.225000; 0.00; 0.00; 42.18
9059863.184999; 0.00; 0.00; 42.57
9075844.809000; 0.00; 0.00; 42.97
9094048.895000; 0.00; 0.00; 43.44
9109105.384999; 0.00; 0.00; 43.81
9124447.756000; 0.00; 0.00; 44.18
9139873.833000; 0.00; 0.00; 44.55
9155898.735999; 0.00; 0.00; 44.93
9172001.697000; 0.00; 0.00; 45.33
9187794.898998; 0.00; 0.00; 45.73
9203902.759999; 0.00; 0.00; 46.11
9219827.615000; 0.00; 0.00; 46.51
9235887.231000; 0.00; 0.00; 46.90
9251877.447999; 0.00; 0.00; 47.29
9267847.528000; 0.00; 0.00; 47.69
9283897.740000; 0.00; 0.00; 48.08
9299818.992999; 0.00; 0.00; 48.47
9315773.884000; 0.00; 0.00; 48.86
9331891.375999; 0.00; 0.00; 49.26
9347901.051999; 0.00; 0.00; 49.65
9363836.362000; 0.00; 0.00; 50.05
9379905.552999; 0.00; 0.00; 50.44
9395889.891000; 0.00; 0.00; 50.83
9411837.341000; 0.00; 0.00; 51.23
9428006.091000; 0.00; 0.00; 51.63
9444859.990000; 0.00; 0.00; 52.06
9460157.606999; 0.00; 0.00; 52.43
9476011.072999; 0.00; 0.00; 52.81
9492051.197000; 0.00; 0.00; 53.21
9507918.033999; 0.00; 0.00; 53.59
9523898.844000; 0.00; 0.00; 53.98
9539918.566999; 0.00; 0.00; 54.37
9555811.186999; 0.00; 0.00; 54.77
9571877.671000; 0.00; 0.00; 55.16
9588013.271000; 0.00; 0.00; 55.56
9604656.808999; 0.00; 0.00; 55.96
9620193.627000; 0.00; 0.00; 56.37
9636050.231000; 0.00; 0.00; 56.75
9652077.861000; 0.00; 0.00; 57.14
9668053.936000; 0.00; 0.00; 57.52
9684089.540000; 0.00; 0.00; 57.92
9700046.540000; 0.00; 0.00; 58.33
9716039.681000; 0.00; 0.00; 58.71
9732040.790000; 0.00; 0.00; 59.10
9748022.862000; 0.00; 0.00; 59.49
9763909.524000; 0.00; 0.00; 59.88
9779860.881999; 0.00; 0.00; 60.27
9795885.802000; 0.00; 0.00; 60.66
9811824.638999; 0.00; 0.00; 61.06
9828030.927999; 0.00; 0.00; 61.45
9843818.722000; 0.00; 0.00; 61.85
9860016.120999; 0.00; 0.00; 62.24
9876124.174000; 0.00; 0.00; 62.64
9892105.916000; 0.00; 0.00; 63.04
9908051.491000; 0.00; 0.00; 63.42
9924110.017000; 0.00; 0.00; 63.82
9940316.102001; 0.00; 0.00; 64.21
9956012.155000; 0.00; 0.00; 64.61
9972021.617000; 0.00; 0.00; 65.00
9993552.727001; 0.00; 0.00; 65.47
10005405.146999; 0.00; 0.00; 65.66
10020390.561000; 0.00; 0.00; 65.88
10035864.898000; 0.00; 0.00; 66.09
10051860.429000; 0.00; 0.00; 66.33
10067992.292999; 0.00; 0.00; 66.56
10083770.624000; 0.00; 0.00; 66.79
10102167.011000; 0.00; 0.00; 67.07
10117585.981000; 0.00; 0.00; 67.30
10133134.251000; 0.00; 0.00; 67.53
10148513.698000; 0.00; 0.00; 67.75
10163899.028999; 0.00; 0.00; 67.98
10180023.559999; 0.00; 0.00; 68.21
10196030.704999; 0.00; 0.00; 68.44
10211986.229000; 0.00; 0.00; 68.68
10228803.020000; 0.00; 0.00; 68.93
10244293.099999; 0.00; 0.00; 69.16
10260074.749000; 0.00; 0.00; 69.38
10275966.938000; 0.00; 0.00; 69.62
10292071.262000; 0.00; 0.00; 69.85
10308049.536000; 0.00; 0.00; 70.09
10323860.797000; 0.00; 0.00; 70.32
10339807.051001; 0.00; 0.00; 70.55
10356650.779000; 0.00; 0.00; 70.81
10372287.205999; 0.00; 0.00; 71.04
10388052.580000; 0.00; 0.00; 71.26
10404088.200000; 0.00; 0.00; 71.49
10420049.153999; 0.00; 0.00; 71.73
10436046.667000; 0.00; 0.00; 71.96
10451972.412000; 0.00; 0.00; 72.19
10467873.941999; 0.00; 0.00; 72.43
10483810.118999; 0.00; 0.00; 72.66
10499906.513000; 0.00; 0.00; 72.89
10515966.414000; 0.00; 0.00; 73.13
10532018.162999; 0.00; 0.00; 73.37
10547951.380000; 0.00; 0.00; 73.61
10563907.208000; 0.00; 0.00; 73.83
10579897.754999; 0.00; 0.00; 74.07
10597999.493999; 0.00; 0.00; 74.35
10613309.536000; 0.00; 0.00; 74.57
10628635.803000; 0.00; 0.00; 74.79
10644175.898998; 0.00; 0.00; 75.02
10660051.474999; 0.00; 0.00; 75.25
