t; x; y; theta
8350000;1.21;1.69;2.38
8366667;1.21;1.69;2.38
8383333;1.21;1.69;2.23
8391667;1.21;1.69;2.21
8408333;1.21;1.69;2.38
8425000;1.21;1.69;2.23
8441667;1.21;1.69;2.24
8458333;1.21;1.69;2.23
8475000;1.21;1.69;2.24
8491667;1.21;1.69;2.37
8508333;1.21;1.69;2.21
8525000;1.21;1.69;2.38
8541667;1.21;1.69;2.38
8558333;1.21;1.69;2.38
8575000;1.21;1.69;2.23
8583333;1.21;1.69;2.39
8600000;1.21;1.69;2.37
8616667;1.21;1.69;2.23
8633333;1.21;1.69;2.24
8650000;1.21;1.69;2.37
8666667;1.21;1.69;2.23
8683333;1.21;1.69;2.38
8700000;1.21;1.69;2.37
8716667;1.21;1.69;2.23
8733333;1.21;1.69;2.37
8750000;1.21;1.69;2.38
8766667;1.21;1.69;2.38
8775000;1.21;1.69;2.38
8791667;1.21;1.69;2.23
8808333;1.21;1.69;2.23
8825000;1.21;1.69;2.38
8841667;1.21;1.69;2.38
8858333;1.21;1.69;2.38
8875000;1.21;1.69;2.23
8891667;1.21;1.69;2.38
8908333;1.21;1.69;2.37
8925000;1.21;1.69;2.23
8941667;1.21;1.69;2.37
8958333;1.21;1.69;2.38
8975000;1.21;1.69;2.37
8983333;1.21;1.69;2.24
9000000;1.21;1.69;2.23
9016667;1.21;1.69;2.24
9033333;1.21;1.69;2.23
9050000;1.21;1.69;2.23
9066667;1.21;1.69;2.38
9083333;1.21;1.69;2.38
9100000;1.21;1.69;2.38
9116667;1.21;1.69;2.24
9133333;1.21;1.69;2.37
9150000;1.21;1.69;2.38
9166667;1.21;1.69;2.37
9175000;1.21;1.69;2.23
9191667;1.21;1.69;2.23
9208333;1.21;1.69;2.38
9225000;1.21;1.69;2.38
9241667;1.21;1.69;2.38
9258333;1.21;1.69;2.23
9275000;1.21;1.69;2.39
9291667;1.21;1.69;2.38
9308333;1.21;1.69;2.23
9325000;1.21;1.69;2.37
9341667;1.21;1.69;2.37
9358333;1.21;1.69;2.39
9375000;1.21;1.69;2.23
9383333;1.21;1.69;2.38
9400000;1.21;1.69;2.24
9416667;1.21;1.69;2.38
9433333;1.21;1.69;2.38
9450000;1.21;1.69;2.37
9466667;1.21;1.69;2.38
9483333;1.21;1.69;2.37
9500000;1.21;1.69;2.37
9516667;1.21;1.69;2.24
9533333;1.21;1.69;2.23
9550000;1.21;1.69;2.36
9566667;1.21;1.69;2.24
9583333;1.21;1.69;2.23
9600000;1.21;1.69;2.24
9608333;1.21;1.69;2.23
9625000;1.21;1.69;2.38
9641667;1.21;1.69;2.24
9658333;1.21;1.69;2.38
9675000;1.21;1.69;2.38
9691667;1.21;1.69;2.24
9708333;1.21;1.69;2.38
9725000;1.21;1.69;2.23
9741667;1.21;1.69;2.38
9758333;1.21;1.69;2.37
9775000;1.21;1.69;2.37
9783333;1.21;1.69;2.39
9800000;1.21;1.69;2.23
9816667;1.21;1.69;2.23
9833333;1.21;1.69;2.22
9850000;1.21;1.69;2.23
9866667;1.21;1.69;2.24
9883333;1.21;1.69;2.23
9900000;1.21;1.69;2.37
9916667;1.21;1.69;2.23
9933333;1.21;1.69;2.24
